path,src,zip,member,licence,side,palette
0000241.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000242.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000243.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000244.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000245.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,9
0000246.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000247.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000248.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000249.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000250.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
